Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S154357181,Perdiz roja,Alectoris rufa,1694,1,ES-MD,,L4373704,Madrid--Parque Forestal Valdebebas,40.4908589,-3.6325693,2023-11-12,09:05 AM,eBird - Traveling Count,291,1,6.31,,25,,,"Curso SEO/BirdLife - Iniciación a la ornitología.    &#x1f324;  Algo de nubes  Temperatura: 13 - 19°C  Viento: Viento flojo  - moderado   Viento procedente del: SO  Nubosidad: 20%  Humedad: 65 - 92%  Presión: 1021 - 1022 hPa  Salida del sol: 7:56am  Puesta del sol: 6:00pm  Datos generados por <a href=""https://raincrow.netlify.app/"">RainCrow</a>"
S155951951,Zampullín común,Tachybaptus ruficollis,1804,10,ES-AN,Málaga,L11138163,Fuente de Piedra--Laguna dulce,37.1316372,-4.7398479,2023-12-08,03:57 PM,eBird - Stationary Count,37,1,,,2
S154231485,Zampullín común,Tachybaptus ruficollis,1804,2,ES-MD,,L11666875,Corredor Ambiental Somontes - El Pardo,40.4991876,-3.7626662,2023-11-11,09:08 AM,eBird - Traveling Count,279,1,5.54,,25,,,"Curso SEO/BirdLife - Iniciación a la ornitología.    ☁️  Nubes - muy nuboso  Temperatura: 14 - 17°C  Viento: Tirando a fuerte  - moderado   Viento procedente del: SO  Nubosidad: 75 - 100%  Humedad: 84 - 92%  Presión: 1017 hPa  Salida del sol: 7:56am  Puesta del sol: 6:01pm  Datos generados por <a href=""https://raincrow.netlify.app/"">RainCrow</a>"
S160494004,Zampullín común,Tachybaptus ruficollis,1804,1,ES-MD,,L11666875,Corredor Ambiental Somontes - El Pardo,40.4991876,-3.7626662,2024-02-03,02:23 PM,eBird - Traveling Count,81,1,1.59,,2
S154357181,Zampullín común,Tachybaptus ruficollis,1804,2,ES-MD,,L4373704,Madrid--Parque Forestal Valdebebas,40.4908589,-3.6325693,2023-11-12,09:05 AM,eBird - Traveling Count,291,1,6.31,,25,,,"Curso SEO/BirdLife - Iniciación a la ornitología.    &#x1f324;  Algo de nubes  Temperatura: 13 - 19°C  Viento: Viento flojo  - moderado   Viento procedente del: SO  Nubosidad: 20%  Humedad: 65 - 92%  Presión: 1021 - 1022 hPa  Salida del sol: 7:56am  Puesta del sol: 6:00pm  Datos generados por <a href=""https://raincrow.netlify.app/"">RainCrow</a>"
S161961671,Zampullín común,Tachybaptus ruficollis,1804,2,ES-MD,,L8894713,San Blas-Canillejas--Lagunas de Ambroz,40.4150302,-3.6031695,2024-02-18,10:07 AM,eBird - Traveling Count,139,1,2.12,,2
S165435477,Somormujo lavanco,Podiceps cristatus,1848,1,NZ-OTA,Queenstown-Lakes District,L5950107,"Gladstone Gap, Lake Hawea",-44.60931,169.28932,2024-03-20,04:34 PM,eBird - Traveling Count,7,1,.38,,2,,,Lake Hawea
S161961671,Somormujo lavanco,Podiceps cristatus,1848,8,ES-MD,,L8894713,San Blas-Canillejas--Lagunas de Ambroz,40.4150302,-3.6031695,2024-02-18,10:07 AM,eBird - Traveling Count,139,1,2.12,,2
S155617985,Paloma bravía,Columba livia,1874,150,ES-NC,,L2378824,Foz de Lumbier RN,42.6322832,-1.3027382,2023-12-02,02:55 PM,eBird - Traveling Count,105,1,3.41,,4
S184514643,Paloma bravía,Columba livia,1874,3,ES-MD,,L4760574,Madrid--Dehesa de la Villa,40.4580502,-3.7218547,2024-06-30,12:00 PM,eBird - Traveling Count,77,1,2.26,,1
